year,gulf_population,southeast_population
1990,10.76,7.04
1991,10.94,7.2
1992,11.11,7.33
1993,11.26,7.43
1994,11.41,7.56
1995,11.53,7.68
1996,11.64,7.82
1997,11.79,7.96
1998,11.94,8.07
1999,12.07,8.18
2000,12.59,8.58
2001,12.77,8.73
2002,12.97,8.9
2003,13.15,9.03
2004,13.37,9.21
2005,13.59,9.37
2006,13.47,9.48
2007,13.75,9.55
2008,13.95,9.63
2009,14.12,9.71
2010,14.32,9.83
2011,14.51,9.99
2012,14.7,10.12
2013,14.93,10.25
2014,15.16,10.39
2015,15.44,10.51
2016,15.68,10.7
2017,15.85,10.83
2018,15.99,10.93
2019,16.12,11.03
2020,16.26,11.13
2021,16.4,11.23
2022,16.53,11.32